Accuracy vs Weight Ablation Summary
======================================================================

Original model accuracy: 0.7984
ODT truncated accuracy:  0.7972

--- ODT truncated (no rot) ---
  % pruned    % zeros   accuracy
         0        0.0     0.7972
        10       10.0     0.7972
        20       20.0     0.7966
        30       30.0     0.7984
        40       40.0     0.7867
        50       50.0     0.7858
        60       60.0     0.7840
        70       70.0     0.6520
        80       80.0     0.6022
        85       85.0     0.5468
        90       90.0     0.4550
        95       95.0     0.3984
        98       98.0     0.3830
        99       99.0     0.3352

--- Phase 2 (rotation only) ---
  % pruned    % zeros   accuracy
         0        0.0     0.7972
        10       10.0     0.7976
        20       20.0     0.7955
        30       30.0     0.7906
        40       40.0     0.7951
        50       50.0     0.7885
        60       60.0     0.7558
        70       70.0     0.7154
        80       80.0     0.7196
        85       85.0     0.7062
        90       90.0     0.7264
        95       95.0     0.5545
        98       98.0     0.5356
        99       99.0     0.4961

--- Phase 3 (λ=10) ---
  % pruned    % zeros   accuracy
         0        0.0     0.7209
        10       10.0     0.7239
        20       20.0     0.7197
        30       30.0     0.7228
        40       40.0     0.7311
        50       50.0     0.7272
        60       60.0     0.7328
        70       70.0     0.7262
        80       80.0     0.7140
        85       85.0     0.7173
        90       90.0     0.7366
        95       95.0     0.6642
        98       98.0     0.5667
        99       99.0     0.3942

--- Phase 3 (λ=1) ---
  % pruned    % zeros   accuracy
         0        0.0     0.6212
        10       10.0     0.6207
        20       20.0     0.6225
        30       30.0     0.6174
        40       40.0     0.6137
        50       50.0     0.6156
        60       60.0     0.6271
        70       70.0     0.6315
        80       80.0     0.6323
        85       85.0     0.6321
        90       90.0     0.6362
        95       95.0     0.6374
        98       98.0     0.6095
        99       99.0     0.5449

